Giorno;Gen;Feb;Mar;Apr;Mag;Giu;Lug;Ago;Set;Ott;Nov;Dic
1;3,03796E-05;1,62342E-05;0,000112509;3,50233E-05;4,35527E-05;4,13572E-05;5,34364E-05;3,74692E-05;4,40629E-05;7,64952E-05;5,61761E-05;0,000109318
2;0,000117115;4,89678E-05;1,97571E-05;5,18069E-05;0,000117689;1,97125E-05;3,75976E-05;4,50077E-05;9,42253E-06;3,95972E-05;2,21167E-06;4,58121E-05
3;8,05188E-05;0,000101909;6,86745E-05;0,000111804;5,15298E-05;4,05782E-05;0,000104404;8,4079E-05;5,83988E-05;1,19505E-05;0,000106285;6,12441E-05
4;4,46042E-05;8,37705E-05;0,00011114;7,86638E-05;6,5095E-06;4,36832E-05;7,97923E-05;0,000106523;8,97231E-05;8,78379E-05;6,02601E-05;5,85684E-05
5;0,000110314;0,000113414;7,88121E-05;0,000104736;7,12472E-05;3,44311E-05;5,69624E-05;3,0312E-05;2,86507E-05;6,9497E-06;2,71575E-07;7,22943E-05
6;5,35441E-05;3,94943E-05;0,000111554;9,35728E-05;0,000114207;8,97722E-05;6,57705E-05;2,54861E-05;9,58088E-05;0,00010767;6,36751E-05;3,91786E-05
7;8,16517E-05;5,27129E-05;0,000115914;0,000119378;7,16277E-05;5,12063E-05;5,99181E-05;6,67104E-05;1,36048E-05;3,86786E-05;7,14281E-07;0,000106086
8;4,64469E-05;7,17909E-05;9,65983E-05;6,78243E-05;3,57625E-05;6,51481E-05;0,000107206;0,00011046;8,57395E-05;8,01101E-06;2,81798E-05;6,18399E-05
9;2,01651E-05;4,88927E-05;6,13688E-05;7,99186E-05;8,11722E-05;9,05292E-05;7,2835E-05;7,07552E-05;7,96303E-05;1,5386E-05;8,35824E-05;1,05109E-05
10;2,6115E-05;6,55609E-05;5,52363E-06;1,53452E-05;2,42977E-05;0,000117105;0,000114323;0,000102732;1,54544E-05;6,4086E-05;6,42299E-05;3,68373E-05
11;0,000111615;9,64627E-05;8,18532E-05;8,12181E-05;1,75859E-05;8,76597E-05;8,62509E-05;2,91207E-05;6,08718E-05;0,000102136;7,54026E-06;2,71614E-05
12;0,000113281;9,0865E-05;5,9311E-05;6,41773E-05;4,62663E-05;4,5477E-05;0,000114196;0,000110927;6,07201E-05;2,42966E-05;8,11405E-05;0,000103049
