Giorno;Gen;Feb;Mar;Apr;Mag;Giu;Lug;Ago;Set;Ott;Nov;Dic
1;0,000727236;0,000574303;0,000556982;0,0006043;0,000220235;0,000130299;7,55446E-05;0,000215035;0,000735722;0,00019138;0,000107224;4,02056E-05
2;0,000282489;0,000736115;0,000714188;6,40575E-05;0,000554337;9,84085E-05;0,000252448;0,000544773;0,00056873;0,000506082;0,000598216;0,000194255
3;8,022E-05;0,000622548;0,00064393;0,000129766;0,000182281;0,000784523;6,5678E-05;0,00049063;0,000624147;0,000682592;0,000247906;0,0001527
4;0,000180565;0,000678308;0,000296106;4,01848E-05;0,000788437;4,37463E-05;0,000601274;0,000113777;0,000162419;5,76898E-05;0,000809296;0,000281713
5;0,000472694;0,000133845;0,000485229;0,000289431;0,000776134;0,000619129;0,000432282;0,000473991;0,000125564;0,000523142;0,000331987;0,000557933
6;0,000631513;0,000543855;0,000144611;0,00073817;0,000636923;6,66959E-05;0,000463036;0,000303089;1,6903E-05;0,000316972;0,000719783;0,000682802
7;8,08594E-06;0,000454027;0,000522031;0,000657908;0,000769989;0,000777688;0,000767526;0,000590171;0,000499961;0,000725736;0,000795512;0,000646906
8;0,000313461;0,000405711;0,00018651;0,000526563;0,000527768;0,000443089;0,00072139;0,000663505;0,0006675;0,00077526;0,000467057;0,000596304
9;0,000771986;0,000644303;0,000686885;0,000655507;5,26691E-05;0,00079888;5,2313E-05;0,000383865;0,000600189;0,000798434;0,000644777;3,38346E-05
10;0,000256501;0,000418001;0,000584969;0,000703762;0,00030526;0,000288029;0,000436146;0,000163204;0,000792042;0,000744179;0,000335887;0,000393238
11;0,000533709;0,000396357;0,000676409;0,000687662;0,000336437;9,67042E-05;0,000324976;0,000636622;1,23376E-05;0,000456855;0,00040837;0,000705716
12;0,000278734;0,000136021;6,20449E-05;0,000268669;0,000405003;0,000659315;0,000333795;0,000365173;4,52574E-05;0,000413088;3,21158E-05;0,000444249
13;0,000108848;0,000609493;5,54309E-06;6,93527E-05;0,000300462;0,000484225;0,000536329;0,000420514;0,000210583;0,000231046;0,000199644;0,000551839
14;0,000356671;0,000133533;0,000302849;0,000522257;0,000179754;0,000791161;0,000583187;0,000801346;0,000551445;8,2091E-05;0,000335121;0,00018713
15;0,000271656;0,000635813;0,00059057;0,000393177;0,000427801;0,000158748;8,88912E-05;0,000378268;0,000315904;0,000560791;0,000576416;6,61381E-05
16;0,000523663;0,000386322;0,0003558;3,86709E-05;0,000720686;0,000582636;8,1444E-05;0,000772963;0,000337381;0,000549964;0,000284408;0,000491254
17;0,000138529;0,000109057;0,000111975;0,000545358;0,000630501;0,000405698;9,44594E-05;0,000516562;0,000656884;0,000775292;0,000606507;0,000155895
18;0,0004408;7,13882E-05;0,000463699;0,000139315;0,000348571;2,15231E-05;0,000359195;0,000713979;0,000492321;0,000525783;0,000570112;0,000591999
19;0,000136185;0,000722956;0,000767083;0,000541878;0,000322872;0,000514498;0,00049717;0,000424782;0,000764867;0,000432657;5,27533E-05;0,000760604
20;0,000120397;0,000676132;0,00010528;0,000731058;0,00027517;0,000216905;2,70073E-05;7,37771E-05;0,000501719;0,000480901;0,000110023;0,000710219
21;4,32378E-05;0,000746494;0,000768995;0,000253369;0,000190975;0,000123891;8,29175E-05;0,000285691;0,00057075;2,59867E-06;0,000363336;0,000609078
22;0,000630375;0,000763951;0,000192364;0,000429098;0,000461991;0,000505682;0,000499834;0,000181037;0,000283433;0,000632658;0,000722825;0,000228373
23;0,000694919;0,000526369;0,000240024;0,000762384;0,000704332;0,000778862;0,000462572;0,000221592;5,80397E-05;0,00054716;0,000426085;0,000596241
24;0,000399113;1,91776E-05;0,000568652;0,000636247;0,000661173;0,000376077;0,00043802;0,000257612;0,000749108;0,00015812;0,000729844;0,000191539
25;0,000766665;0,00065687;0,000324492;0,000555676;0,000691091;0,000269866;0,000143577;0,000351453;0,000458343;6,70692E-05;0,000804827;5,99609E-05
26;0,000689137;0,000371373;0,000345711;0,000105928;0,000256094;0,000361795;0,000330482;0,000583389;0,000552227;0,000384275;0,000582631;6,54251E-05
27;0,000504577;0,000276942;0,000742385;0,000548149;0,000137901;0,000192991;0,000293856;0,000124516;0,000443108;0,00010902;0,000107162;0,000671878
28;0,000292438;9,10662E-05;0,000691572;0,000344565;6,48372E-05;0,000642479;8,19076E-05;0,000398705;0,000622871;2,71335E-05;3,77589E-05;0,000768679
29;0,000591468;;0,000199086;0,000319612;0,000481314;0,000760797;0,000246582;0,000610059;0,00030715;8,22022E-06;0,000447547;0,000617047
30;5,35156E-05;;5,23242E-06;0,000689064;0,000602658;6,87678E-05;0,000773241;0,000216497;0,000205389;0,000530501;0,000360053;0,000786481
31;0,000233728;;0,000456178;;0,000362911;;0,000512064;0,000462725;;0,000241073;;0,000342745
