Giorno;Gen;Feb;Mar;Apr;Mag;Giu;Lug;Ago;Set;Ott;Nov;Dic
1;0,010758864;0,005687228;0,011018518;0,005339809;0,009703252;0,001399671;0,011907775;0,008726999;0,006072789;0,000515863;0,011951239;0,0049962
2;0,005534849;0,007880937;0,003305743;0,000623776;0,003706928;0,007284499;0,010823612;0,001083594;0,000214004;0,001173695;0,005206044;0,011616597
3;0,006021585;0,00453714;0,012264753;0,011237131;0,001981615;0,004280325;0,007775566;0,005479799;0,008948255;0,002869903;0,012535413;0,003366853
4;0,010573442;0,006974288;0,010793326;0,009748803;0,006056062;0,006447703;0,004378021;0,008059965;0,002762276;0,004900658;0,006786093;0,007659142
5;0,003242265;0,006734373;0,008942416;0,002707742;0,004508631;0,003131421;0,007753302;0,01221964;0,005488226;0,005317727;0,012594276;0,006122027
6;0,003942311;0,01028185;0,007494814;0,000261277;0,005885236;0,012426798;0,006019576;0,006529548;0,009391569;0,008728204;0,006462204;0,012762825
7;0,005446628;0,000239406;0,000598883;0,004631258;0,008433177;7,98288E-05;0,005385596;0,009848582;0,001759667;0,007908274;0,002354757;0,012141872
8;0,008990054;0,003322648;0,001871662;0,008914182;0,002886066;3,1962E-05;0,008007282;0,005272726;0,001172468;0,003734444;0,00138544;0,009256069
9;0,01267448;0,001528708;0,008156553;0,002931094;0,000878495;0,000865115;0,001998198;0,00866246;0,005495784;0,007357579;0,007605757;0,008194526
10;0,006545335;0,004455043;0,002166471;0,004583791;0,011167584;0,006389433;0,002087023;0,004111825;0,00452356;0,002958151;0,00833356;0,01140126
11;0,007149834;0,00472446;0,002124364;0,012521437;0,002772381;0,006952748;0,006531898;0,000607249;0,009040342;0,006882858;0,004561582;0,005744867
12;0,003425063;0,009609509;0,011422529;0,006139507;0,000889612;0,001894112;0,000578176;0,011800389;0,000544895;0,005476048;0,012061615;0,004596935
13;0,007356285;0,010917357;0,008679631;0,002787288;0,011935851;0,000805396;0,001942514;0,000816727;0,008095254;0,004230374;0,010682892;5,46912E-05
14;0,003397982;0,001437893;0,002823102;0,007371218;5,15996E-05;0,000331901;0,000464741;0,011744839;0,006334357;0,007449652;0,009574791;0,00545283
15;0,007287806;0,011908102;0,004078737;0,000656453;0,010337887;0,001126201;0,011712592;0,00522754;0,009875751;0,007363851;0,011423962;0,010152338
16;0,006246273;0,003118612;0,010343947;0,005232849;0,003410996;0,004110064;0,003068826;0,005077529;0,009637077;0,008634169;0,009087918;0,002854748
17;0,003726511;0,009304319;0,0100901;0,008578712;0,011134891;0,006060002;0,005059581;0,002567602;0,011115271;0,005800059;0,004870126;0,009136613
18;0,006884987;0,000229003;0,005735754;0,004441957;0,007719407;0,001244815;0,010566014;0,002539836;0,005633359;0,000341706;0,000640167;0,001330886
19;0,011207201;0,008744012;0,012534808;0,008264213;0,008901976;0,003467289;0,004451618;0,004712567;0,008870243;0,007390586;0,001288523;0,002499983
20;0,007376194;0,005041122;0,003394442;0,001746567;0,005001339;0,012358168;0,006801925;0,004838981;0,001774691;0,008892897;0,002122976;0,011708192
21;0,004711544;0,011285465;0,002623237;0,012051276;0,000634942;0,001335973;0,000205258;0,008106065;0,004789207;0,01205665;0,00040015;0,008883505
22;0,000146607;0,004819731;0,005440834;0,007371686;0,007279705;0,011737943;0,005149246;0,007204831;0,011721557;0,009218181;0,00332245;0,003856927
23;0,004173051;0,004049702;0,006179982;0,003585969;0,009020001;0,001343226;0,007824517;0,012156212;0,011090836;0,008107119;0,007485668;0,00931951
24;0,004978495;0,00336499;0,002867361;0,002331526;0,000398598;0,009831376;0,007081411;0,002728516;0,010519373;0,00899472;0,006335454;0,001258987
25;0,009581913;0,003997982;0,009709026;0,001246327;0,001797656;0,004320537;0,009567935;0,012852875;0,003969151;0,008231514;0,010282337;0,005280427
26;0,003423563;0,00623431;0,000131201;0,008175515;0,009969517;0,004535286;0,008001236;0,012081733;0,004920198;0,002502057;0,001717531;0,006279358
27;0,006224095;0,007175306;0,007893854;0,01246566;0,001747553;0,010907654;0,004158917;0,009583151;0,01006445;0,003031979;0,001103315;0,004255202
28;0,009331928;0,010572401;0,000951044;0,001793167;0,005628366;0,001111241;0,004502725;0,002028361;0,000248972;0,003016794;0,007003918;0,010335879
29;0,000538895;;0,009879829;0,006619285;0,002751809;0,00975444;0,005911345;0,007687645;0,004830513;0,011652886;0,003207131;0,007471085
30;0,009373572;;0,004284358;0,002174274;0,00845822;0,004889848;0,001842236;0,008453167;0,001744666;0,011734871;0,005092093;0,002429781
31;0,012652695;;0,001247414;;0,004907103;;0,003269387;0,008739141;;0,004801336;;0,01026034
