Giorno;Gen;Feb;Mar;Apr;Mag;Giu;Lug;Ago;Set;Ott;Nov;Dic
1;0,00020456;0,000220661;9,24921E-05;7,09099E-05;2,75044E-05;0,000146151;0,000200452;0,00015206;0,000115017;1,30656E-05;0,00011977;8,16757E-05
2;0,000166213;0,000223678;6,64597E-05;1,80481E-05;7,18975E-05;2,14678E-05;9,35781E-05;7,0004E-06;0,000229132;0,000162365;0,0002261;5,66496E-05
3;0,000123349;2,80758E-05;6,92581E-05;0,000119281;0,000213153;0,000136035;0,000220567;4,54277E-05;0,000123502;1,98663E-05;5,80874E-05;0,000115094
4;0,00018011;5,58056E-06;6,00786E-05;0,000143253;6,69074E-05;0,000153664;0,000144215;2,33451E-05;4,54154E-05;0,000191132;0,000144659;0,000134249
5;0,000219109;0,000173046;7,69159E-05;0,000203505;0,000174828;0,000196645;0,00014438;8,72198E-05;0,000216913;3,21083E-05;0,000150999;0,000105202
6;0,000183324;2,69071E-05;0,000200638;0,000113304;7,54533E-05;5,74679E-05;0,000126285;0,000133766;0,000125604;1,12259E-05;0,000167689;0,000118818
7;1,63477E-05;0,000222741;8,39241E-05;0,000223239;0,000163389;0,000158203;4,87644E-05;0,000216519;0,000135683;0,000229266;0,000205752;0,00017179
8;0,000201679;7,89584E-06;0,000163979;0,000199913;0,000144327;8,21717E-05;0,000189508;0,000190484;0,00019376;0,000213118;3,42832E-05;0,000138886
9;2,87215E-05;4,45715E-05;0,000163837;0,000167205;0,000136313;0,000179466;0,000191456;0,000167719;0,000188814;6,77303E-05;6,62046E-05;3,56013E-05
10;3,42177E-05;0,000131515;0,000126395;0,000162948;4,92182E-05;0,000154989;0,000100287;5,81166E-05;0,000195436;0,000104915;0,000182448;9,16264E-05
11;9,05442E-05;0,000189609;0,000145725;0,000107556;0,000131465;0,000227057;0,000210611;2,70199E-06;2,69422E-07;0,000153867;0,00020671;0,000117434
12;5,28866E-05;2,41936E-05;2,15185E-05;0,000182347;0,000184787;4,38477E-06;0,000137472;2,44683E-05;8,71974E-05;0,000163407;0,000205277;4,86778E-05
13;0,000110525;0,0001475;5,43716E-05;0,000189755;2,85419E-05;3,61759E-05;0,000119051;5,22358E-05;0,000138765;4,59593E-05;0,000115981;0,000202536
14;0,000111365;4,34763E-05;0,000218902;0,000102693;0,000193454;3,46841E-05;0,000210054;0,000157558;0,00015668;6,8869E-05;0,000147112;0,000213589
15;0,000107479;3,95619E-05;0,000139668;0,000196339;0,000164106;2,384E-05;0,000174683;6,34149E-05;9,3597E-06;2,6372E-05;0,000194235;2,38151E-05
16;7,92019E-06;4,01569E-05;0,000229173;0,000154917;0,0001431;6,96548E-07;0,000125693;0,000215952;5,70585E-05;0,000159029;0,0001318;4,77778E-05
17;1,08461E-05;5,87513E-05;5,0794E-05;0,000229353;4,98659E-05;3,32162E-05;2,51455E-05;8,62916E-05;6,29892E-05;6,71741E-05;1,89562E-06;7,29438E-05
18;2,44742E-05;0,00011572;4,04291E-05;9,92797E-05;7,61172E-05;5,4588E-05;3,17908E-05;0,000141778;1,78421E-05;0,000152559;0,000220696;8,94886E-05
19;0,0001298;0,000159286;1,30791E-05;0,000148147;0,000166858;0,000138911;7,40798E-06;0,000141133;7,1512E-05;1,65682E-05;0,000181803;0,000164009
20;0,00022063;0,000126933;3,33629E-05;0,000226123;3,66995E-05;2,17479E-05;0,000105906;3,74657E-06;0,000101825;0,000180392;2,94684E-05;0,00022132
21;8,14657E-05;6,0335E-06;0,000115274;0,000184219;4,66243E-05;0,00021229;1,77794E-05;6,85265E-05;7,53812E-05;4,04392E-06;0,000100577;6,46668E-05
22;0,000219569;0,000128735;1,27998E-05;0,000123886;0,000206143;7,46658E-05;0,000209283;0,000183216;3,9409E-05;7,18245E-05;0,000220343;8,04423E-05
23;0,000220755;0,000187764;0,000131162;0,000161121;0,000140927;0,000107817;2,79647E-05;3,69873E-05;0,000156435;3,11406E-05;0,000124519;1,26097E-05
24;0,000126053;6,97949E-05;6,16265E-05;0,000203186;4,20626E-06;0,00016974;0,000161823;0,000175575;0,000206963;4,94679E-05;3,9143E-05;0,000165437
25;0,000119406;4,05976E-05;0,000171839;0,000149845;0,000102895;8,92937E-05;0,000106012;8,23525E-05;5,75467E-05;5,10257E-05;2,20994E-05;0,000208685
26;8,94121E-05;2,00018E-05;9,03979E-05;9,02588E-05;0,000227887;6,96552E-05;0,000186202;0,000144654;0,000139213;0,000212355;6,59439E-05;0,00021353
27;0,00022887;0,000198748;4,23777E-05;3,71746E-05;0,000173264;0,000114737;0,000133709;2,89822E-05;0,000210225;5,34041E-05;0,000171373;0,000137047
28;0,000193453;0,000192811;7,22402E-05;0,000206298;0,000133694;0,000146505;0,00022521;5,10341E-05;0,00014356;7,99366E-05;0,000170666;0,000112863
29;0,000210549;;0,000210284;1,39796E-05;5,87676E-05;0,000187602;0,000134864;0,000186396;0,000221074;2,78668E-05;0,000163614;0,000183553
30;0,000106624;;0,00016328;4,5253E-05;6,65802E-05;0,000213142;2,35492E-05;7,16769E-05;0,000180526;8,34293E-05;1,75165E-05;0,00011442
31;0,000112217;;0,000125354;;0,000107815;;2,92576E-05;0,000154459;;6,42789E-06;;5,68308E-05
