Giorno;Gen;Feb;Mar;Apr;Mag;Giu;Lug;Ago;Set;Ott;Nov;Dic
1;0,000579829;0,000202126;0,000470552;9,18531E-05;0,001127373;0,000657436;0,000387954;0,000478277;9,14715E-06;0,000667334;0,000555262;0,000788912
2;0,001062057;0,001095633;0,000339162;0,001260123;0,000764555;0,001059555;0,001110085;0,000499182;0,001207596;0,000310697;0,001225159;0,000693975
3;0,001054122;4,48822E-05;0,000400447;0,000782456;0,000999708;0,001037352;0,000522992;0,000931749;0,000906037;0,000299962;0,00022421;0,000496137
4;0,000700125;0,00099658;4,67223E-05;0,001181732;0,001131361;0,000417025;0,000393857;0,001157714;0,001161704;0,000590943;0,000695864;0,000971495
5;0,000183164;0,00118174;0,001245706;0,000711753;0,000944994;0,000515771;0,001062493;0,000292829;0,00021924;0,000938424;0,000970266;0,001278598
6;0,001276247;0,000621743;0,000998292;0,000811985;0,000467206;7,83868E-05;0,000979957;0,001271818;0,000442944;0,000596463;0,000975981;0,000467163
7;0,001111659;0,000427709;0,001240844;0,001297131;0,000282937;0,000516564;0,001173846;0,00069814;0,000308375;0,001013787;0,000984601;1,84167E-05
8;0,000837251;6,82394E-06;0,001170577;0,000570153;0,001129573;0,000411032;0,00101829;0,000917341;0,001209203;0,001182356;0,000566809;0,000967389
9;0,000305454;0,001286812;0,000270215;0,001244465;0,000112462;0,000419025;0,001201876;0,001188764;0,000732245;0,000594669;0,00041796;0,000355177
10;9,97413E-05;0,000613765;0,00066658;0,00094596;5,136E-05;0,000448241;0,000427716;0,000560211;0,000287894;0,000562898;0,000575876;0,00086213
11;0,000724264;0,000946293;0,000208753;4,85991E-05;0,000732696;0,001212954;0,001171763;0,000330108;0,000669318;4,4826E-05;0,000488464;0,00110595
12;0,000636097;0,000980175;0,000939665;0,001244204;0,000357333;0,001256254;0,000387981;0,00099795;0,000987481;0,001189743;0,001033409;0,000191385
13;0,000220369;0,001211157;0,000522018;0,000970677;0,000520498;0,000693862;0,00124831;0,000474901;0,000963511;0,000392692;0,001064214;0,00040102
14;0,000411736;0,000148498;0,001220122;0,000696121;0,000600072;0,001162511;0,000619845;0,000185688;0,00020094;0,000238736;0,001284785;0,001030059
15;0,000824388;0,000221512;7,17265E-05;0,000721081;0,000314028;0,000258408;0,000192109;0,000414548;0,001173638;0,000784209;0,001232124;0,000214132
16;8,99322E-05;0,000300322;0,000179769;0,00058191;0,000649802;0,000233099;0,000556563;1,53326E-05;0,00028104;0,000566578;0,001068525;0,000986821
17;0,000107212;9,53412E-05;0,001212936;0,000837069;0,0011785;0,001137275;0,00010695;0,001101813;0,000786039;0,001079639;3,76237E-05;0,000161304
18;0,000522983;0,000982541;0,000383641;0,000867935;0,000937794;0,001216716;0,00051165;0,00031076;0,001095476;9,88126E-05;8,98738E-05;0,001178479
19;0,000339924;0,000348146;0,001015303;0,000367401;0,000535014;0,00080183;0,000656573;0,001117969;0,000563414;0,000407958;0,000431101;0,000928121
20;0,001014593;0,000776008;0,000329428;0,000929674;0,000484973;0,000161477;0,000360609;0,000936686;0,000205574;0,000877192;0,000858879;0,000738349
21;0,000672435;0,001099052;0,000262813;0,000987573;0,000608169;0,000942369;2,97925E-05;0,001037097;0,000390937;3,12179E-07;0,001062249;0,000334767
22;0,001174841;0,00092936;0,001035669;0,001155176;0,0005451;0,000494002;0,000811115;0,000209367;0,000389673;0,000287951;0,000456989;0,000500137
23;0,000573578;0,001271279;0,001032219;0,000332965;0,000301191;0,001170091;0,000647081;0,000330694;0,000643107;0,000589;0,000425406;0,001052614
24;0,000353236;0,000536295;0,001104333;0,000761521;0,000318114;0,000525315;0,000264063;0,001257622;0,000475121;0,000596296;0,000361623;0,000720214
25;0,000349299;0,001120535;0,000969118;0,000735046;0,001063405;0,000738606;4,69253E-05;0,000326621;0,000922683;0,001193565;8,12251E-05;0,000878484
26;0,001143242;5,49532E-05;0,00033441;0,001051726;0,000473286;0,000333618;0,000688114;6,90262E-05;0,00100367;8,14944E-05;0,000333461;0,000345184
27;0,000872403;0,001193349;0,001208689;0,000470763;0,000285852;0,000713017;0,000539078;8,68043E-05;0,000285178;0,00051643;0,00107789;0,000828618
28;0,000893064;0,000266735;0,000790181;0,000341381;0,001298836;0,001139665;0,000749518;0,000819124;0,000160603;1,99288E-05;2,28206E-07;0,000981405
29;0,000236495;;0,000386195;8,35298E-05;0,00099546;0,00117378;0,001193056;0,000983071;0,000133467;0,000442819;5,27935E-05;0,001210641
30;0,000686209;;0,001058326;0,000670445;0,000136958;0,000573836;0,000305882;0,000749359;0,000717605;0,000720528;9,61672E-05;0,000755731
31;0,000251987;;0,000633984;;0,000358672;;0,000335439;0,00105839;;0,001156004;;0,000267001
