Giorno;Gen;Feb;Mar;Apr;Mag;Giu;Lug;Ago;Set;Ott;Nov;Dic
1;10,6;14,6;18,2;22,3;20,4;31,3;30,6;33,4;27,9;22,2;20,9;12,1
2;11,5;15,4;15,9;18,5;22,2;30,6;31,6;34,9;27;25,6;19,9;12,8
3;11,6;16,1;19,1;20,7;24,2;32,6;31,6;36,1;24,4;24,8;17,4;8,1
4;10;15,6;17,6;25,4;23,1;31,2;35,1;37,3;28,2;28,4;20,4;10,2
5;7,3;15,3;13,2;21,6;25,4;32;38;38,4;30,3;26,7;20,4;11,1
6;2;11,7;15,6;21,4;24,7;30,2;39,2;37,8;29,9;24,3;16,6;10,4
7;1,7;14,1;12,2;21,8;21,5;31,2;38,1;36,6;28,4;20;14,4;14,3
8;1,8;11,5;14,7;24,8;21,4;31,6;41,9;32,3;28,7;21,8;16,7;13,3
9;8,6;15,2;21,3;26,7;21,5;32,3;37,7;31,8;27;23,7;17,2;12,6
10;6,5;14,4;20,2;27;23,9;33,5;36,4;30,5;22,3;24,8;14,9;10,6
11;5,5;17,1;15,2;25,7;26,5;32,8;36,8;31,2;23,4;26;16,8;15,4
12;7,9;16,5;18,2;26;27,2;34;36,4;32,6;27,4;25,7;16,6;15,7
13;12,7;17,1;18;23,5;27,2;35,6;38,5;33,4;27,3;24,7;15,3;14,3
14;9,7;15,5;19,9;22,9;27,3;34,5;36;33,1;25,6;26,7;13,1;13,6
15;6,8;16,9;19,1;23,3;27,4;35,4;34;34,1;26,6;27,8;12,7;14,1
16;6,1;17,5;22,4;23,2;27,2;35,3;31,2;32,7;27,7;28,6;14,9;11,4
17;8;16,4;23;21,6;28,2;34,2;34,3;33,3;24,5;26,5;17,1;9,2
18;9,8;13,4;16,7;19,9;28,8;29,1;38,5;33;25,6;25,4;15,9;9,9
19;10,4;15,2;18,9;14,2;27,2;33,4;38,4;33,4;21,9;23,9;13,9;8,4
20;11,4;13,9;20,6;14,6;23,8;34,8;35,8;27,4;19,9;25;14,9;8,2
21;13,7;16,3;24,1;15,6;22,9;35,4;35,9;30,5;24,2;25,4;14,1;9,4
22;12,9;16,2;18;20,5;28,9;35,6;36,4;32,5;25,5;20,7;15,6;16
23;10;15,8;20,3;21,4;29,7;36,9;37,6;31,8;25,3;18,1;17,8;15,6
24;12,7;17,1;24,2;21,6;30;37,5;34,8;28,5;24,4;20,7;17,3;12,9
25;13,3;15,3;24;21,5;27,6;34,2;30,7;26,3;22,1;23,1;17,3;12,5
26;12,7;19,3;18,2;22,1;26,1;37,7;33,4;28;24,3;24;15,2;11,5
27;12,7;17,8;17,1;20,6;28,2;36,3;33,1;27,1;25,9;20,9;10,2;12,4
28;11,9;15,4;20,1;17,5;30,7;31,3;32,8;28;25,9;20,6;10,5;10
29;13,5;;24,2;19,9;30,1;30,3;36,2;28,4;25,1;17,5;10,1;8,9
30;15,2;;26,2;23,2;31,1;30;36,4;28,9;25,2;20,6;12,9;8,5
31;10,7;;25,3;;30,8;;39,3;30;;20,8;;13,9
