Giorno;Gen;Feb;Mar;Apr;Mag;Giu;Lug;Ago;Set;Ott;Nov;Dic
1;-5,2;9,3;5,6;3,8;5,8;13,7;17,1;15,5;18,4;10,9;2,9;-0,8
2;1;12,4;1,5;6,7;6,6;12;16,6;16,6;19,3;12,9;2,6;-0,8
3;3,7;12;3,1;8,3;8,9;11,6;16,7;16,6;13,4;11;9,2;3,9
4;-2,1;12,3;5;6,2;10,5;14,7;18,3;17,8;9,9;11,4;11;-0,3
5;0,9;9,4;8,5;5,2;11,7;15,3;17,7;18,4;14,3;10,3;8,8;-2,1
6;-1,3;8,4;8,5;4,9;10,2;18,8;18,1;19;14,2;14,3;9,2;-3,6
7;-3,6;5,4;7,3;4,3;13,1;18,1;18,1;18,4;18,1;7;5,7;1,6
8;-7;2,9;9,2;5,6;10,1;14,1;18,9;17,1;14,5;3,8;2,5;4,8
9;-5,9;7,7;1,2;6,6;9;12,5;19,9;19,9;11,4;11,3;6,9;-1,2
10;-3,8;8,4;2,7;6,9;9,8;14,5;20,1;17,1;16,4;8,8;9,2;-4,9
11;-4,8;2,5;7,3;7,3;11;15,1;22,3;16,1;17,2;7,6;5,7;10,7
12;-5,4;3,7;0,3;9;16,2;14;20,6;13,7;14,9;8;3,7;9,8
13;3,7;3,5;1,1;8,7;14;16,1;21,6;15,4;13,7;7,8;5,3;3,8
14;-2,4;1,6;-0,3;9,4;12;17,3;23,5;15,8;13,2;7,1;2,3;2
15;-1,7;-0,6;0,7;8;12,2;17,9;22,8;16;18,9;6,4;7,4;8,5
16;3,7;-1,4;2,6;13;12,6;19,7;21,8;16,9;18,7;5,5;6,2;3,6
17;3,8;0,3;1,7;8,7;11,2;21,1;19,4;16,4;12,8;6,2;3,3;4,2
18;4,5;4,9;2,4;5;12,2;16,8;16,5;16;9,1;6,4;1,9;-1,7
19;3,1;-1;4,5;4,2;12,2;14,6;17,4;15,7;11,8;5,5;0,5;-4,5
20;-2;-1,5;12,4;0,7;13,2;15,9;18,5;18;9,3;7,8;1,7;-2,6
21;-3,8;-1,5;7,1;-0,8;11,7;17,1;19;18,1;5,8;6,9;1;-2,4
22;-1,7;0,4;7;-1,3;9,7;18,1;21,3;15,2;8,5;12,7;3,7;-3
23;1,1;9;9,9;3,1;11,6;18,9;25,1;15,6;8,7;5,6;4;1,4
24;3,8;10,8;6,4;3,8;12,5;19,7;24,1;15,2;9,4;1,6;5,9;-2,2
25;1,4;6,7;6,6;5,7;15;22,2;19,5;17,7;10,9;11,7;8,2;-3
26;-2,8;2,4;10,5;6,6;10;19,8;17;19,6;9,4;4,3;6,7;2,6
27;-3,9;2,7;5,8;15,6;9,3;24,6;18;18,5;10,1;4,7;1,1;8,8
28;-2,3;2,2;0,2;10,3;11,2;24,8;19,3;16,6;10,3;6,7;-3,4;3,3
29;-3;;1,1;3,8;11,9;24,5;21,6;15,2;9,7;3,3;5,3;0,8
30;-4,3;;3,4;4,6;12;20,1;20,9;15,2;9,1;5;1,7;0
31;3,2;;5,7;;13;;21,7;14,4;;6,7;;5,9
