Giorno;Gen;Feb;Mar;Apr;Mag;Giu;Lug;Ago;Set;Ott;Nov;Dic
1;0;0;5;0;0;0;0,2;0;8,2;0;0;0
2;0;0;0;0;0;0;0;0;0,6;0;0;0,2
3;11,4;4,2;0;0;0;0;0;0;0;0;11,6;1,4
4;0;4,2;1,8;0;0,4;0;0;0;0;0;0,2;0
5;0,2;26,6;7,8;0;0,6;0;0;0;0;0;12,8;0,2
6;0;14;11,6;0;0,4;0;0;0;0;3,2;6,6;0
7;0;0;9,4;0;1,6;0;0;0;0;0;0,2;0
8;0;0;0;0;19;0;0;0;0;0;0,2;4
9;0;0,2;0;0;0,2;0;0;1,8;0;0;1,2;0
10;0;0;0;11;0;0;0;0;37,2;0;0;5,4
11;0;0;0;0;0;0;0;0;5;0;0;9,2
12;0,6;0;0;0;0;0;0;8,8;0,2;0;2,4;47
13;27,2;0;0;0;0;0;0;0;0;0;1,6;11,8
14;0,2;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;0;0,2;0;0;0;0;0;2,2;40,2
16;0;0;0;0;0;0;0;0;0,4;0;0;5,4
17;0;0;0;0,2;0;0;0;0;2,8;0;0;0
18;0;7,8;0;5;0;0;0;0;1,8;0;0;0
19;0;0;0;0;0;0;0;0;24,2;0;0;0
20;0;0;0;0;4,2;0;0;0;0,2;0;0,2;0
21;0;0;0;0;0,2;0;0;0;0;0;0;0
22;0;0;0;0;0;0;0;0;0;0,6;0;0
23;0;0;0;0;0;0;4,8;0;0;0;0;0
24;0;1,4;0;0;0;0;34;0;0;0;0;0,2
25;0;1;0;0;0;0;12,2;0;0;0;0,6;0
26;0;0;1,8;0;0;0;0,2;0;0;0;8;2,4
27;0;0;0;14,2;0;0;0,2;0;0;0;0;62
28;0;0;0;11,8;0;7,6;0;0;0;0;0;8,8
29;0;;0;0;0;0;0;0;0;0;53,6;0,2
30;0;;0;0;0;19,4;0;2,8;0;0;0,2;0
31;0,4;;0;;0;;0;0;;0;;0
