Giorno;Gen;Feb;Mar;Apr;Mag;Giu;Lug;Ago;Set;Ott;Nov;Dic
1;0;0;0;0;0,000388474;0;0;0;0;0;0;0
2;0;0;0;1,5876E-05;0;0,0003392;0,000292064;0;1,77081E-05;9,93747E-05;0;0
3;0;0;0;0;0;0;0;0;0;0;0;0
4;7,58628E-05;0;3,46308E-05;0,000261297;0;0;0;0;0;0;0;0
5;0;0;9,23284E-05;0,000176954;0;0;0;0;0;0;0;0
6;0;0,000104577;0;0;0,000158589;0;0;0;0;0;0;0
7;0;0;0;5,80471E-05;0;0,000382;0;0;0;0;0;0
8;0;0;0;0,000119554;0;0;0;0;0;0;0;0
9;0;0,000196966;0;0;0;0;0;0;0;0,000254707;0;0
10;0,000122217;0;0;0,00031443;0;0;0;0;0;0;0;0
11;0;0;0;0;0;0;0;0;0,00033266;0;0;0
12;0;0;0;0;0;0;0,000211265;0;0;0;0;0,000148959
13;0;0;7,26742E-05;0;0,000360999;0;0;0;0;0;0;0
14;0;0;0;0;0;0,000336394;0,000168805;0;0;0;0;0
15;7,68572E-05;0;0;0;0;0;0,000324907;0;0;0;0;0
16;0;0;0;0;0,00021261;0;0;0;0;0;0;0
17;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;0;0;0,00024031;0;0;0,000128397;0;0;0;0
19;0;0;0;0;0,000190203;0;0,000235109;0,000233104;0;0;0;0
20;0,000273523;0,000274675;0;0;0;0;0;0;0;0,000215025;0;0,000158832
21;0;0;0;0;0;0;0;0;0,000169039;0;0;0
22;0;0;0,000203874;0;0;0;0,000232254;0;0;0;0;0
23;0,000104862;0;0;0,000312783;0;0;0;0;0;0;0,00022481;0
24;0;1,75191E-05;0;0;0;0,000386259;0;0;0;0,000177658;0;0
25;0,000105046;0,000226055;0;0;0;0;0,000246752;0,000298288;0;0;0;0
26;0,000254143;0;0;0;0;0;0;0;0;0;0;0
27;6,58903E-05;0;0;0;0;0;0;0;0;0;0;0
28;0;0;0;0;0,000101748;0;0;6,84016E-07;0,000336622;0;0;1,77786E-05
29;0;;0;0;0,000297963;0;0;0;0;0;0;0
30;0;;0;0;0;0;0;0;0;0;0;2,06696E-05
31;0;;0;;0,000183996;;0;0;;9,92024E-05;;0
